2026-06-25 00:21:02,026 | WARNING  | builder | Colonne brute absente : 'II_23' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,029 | WARNING  | builder | Colonne brute absente : 'II_25_1' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,030 | WARNING  | builder | Colonne brute absente : 'II_25_2' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,036 | WARNING  | builder | Colonne brute absente : 'II_15' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,038 | WARNING  | builder | Colonne brute absente : 'III_2' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,038 | WARNING  | builder | Colonne brute absente : 'III_3' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,039 | WARNING  | builder | Colonne brute absente : 'III_5' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,040 | WARNING  | builder | Colonne brute absente : 'III_6' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,041 | WARNING  | builder | Colonne brute absente : 'III_8' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,043 | WARNING  | builder | Colonne brute absente : 'III_10' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,044 | WARNING  | builder | Colonne brute absente : 'III_11' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,045 | WARNING  | builder | Colonne brute absente : 'III_12' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,047 | WARNING  | builder | Colonne brute absente : 'III_13' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,048 | WARNING  | builder | Colonne brute absente : 'III_14' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,050 | WARNING  | builder | Colonne brute absente : 'III_15' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,122 | WARNING  | builder | Colonne brute absente : 'III_18' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,123 | WARNING  | builder | Colonne brute absente : 'III_19' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,125 | WARNING  | builder | Colonne brute absente : 'III_21' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,125 | WARNING  | builder | Colonne brute absente : 'III_22' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,126 | WARNING  | builder | Colonne brute absente : 'III_23' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,128 | WARNING  | builder | Colonne brute absente : 'III_24' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,129 | WARNING  | builder | Colonne brute absente : 'III_25' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,131 | WARNING  | builder | Colonne brute absente : 'III_26' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,135 | WARNING  | builder | Colonne brute absente : 'III_27' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,137 | WARNING  | builder | Colonne brute absente : 'III_28' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,139 | WARNING  | builder | Colonne brute absente : 'III_29' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,140 | WARNING  | builder | Colonne brute absente : 'III_31' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,141 | WARNING  | builder | Colonne brute absente : 'III_1' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:21:02,142 | INFO     | builder | Bloc C (déchets) : 60 variables construites.
2026-06-25 00:21:02,233 | INFO     | builder | Bloc D (conséquences) : 5 variables construites.
2026-06-25 00:21:02,239 | INFO     | builder | Table consolidée : 2474 lignes × 91 colonnes.
2026-06-25 00:21:02,239 | INFO     | pipeline |   → Table finale : 91 variables analytiques.
2026-06-25 00:21:02,239 | INFO     | pipeline | 
[ÉTAPE 3/4] Export CSV et Stata...
2026-06-25 00:21:02,289 | INFO     | exporter | CSV exporté : C:\Users\User\Desktop\Ecole\AS3\Projet Traitement donnees\Insalubrite_traitement_donnees\output\dataset_dechets.csv (2474 lignes × 91 colonnes)
2026-06-25 00:21:02,290 | WARNING  | exporter | Noms raccourcis pour Stata : {'satisfaction_corbeilles_disposition': 'satisfaction_corbeilles_dispo', 'maladie_potentiellement_liee_dechets': 'maladie_potentiellement_liee_'}
2026-06-25 00:21:02,481 | INFO     | exporter | Stata .dta exporté : C:\Users\User\Desktop\Ecole\AS3\Projet Traitement donnees\Insalubrite_traitement_donnees\output\dataset_dechets.dta
2026-06-25 00:21:02,482 | INFO     | pipeline |   → CSV  : C:\Users\User\Desktop\Ecole\AS3\Projet Traitement donnees\Insalubrite_traitement_donnees\output\dataset_dechets.csv
2026-06-25 00:21:02,482 | INFO     | pipeline |   → DTA  : C:\Users\User\Desktop\Ecole\AS3\Projet Traitement donnees\Insalubrite_traitement_donnees\output\dataset_dechets.dta
2026-06-25 00:21:02,482 | INFO     | pipeline | 
